2023-07-07 09:53:28.250 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.113 сек., синхр.=0.006 сек., всего=0.127 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.004 сек., средняя=0.003 сек.; расстояние=8 kB, ожидалось=13 kB
2023-07-07 09:58:28.245 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-07 09:58:34.792 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 57 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=6.515 сек., синхр.=0.023 сек., всего=6.547 сек.; синхронизировано_файлов=35, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=302 kB, ожидалось=302 kB
2023-07-07 10:03:28.803 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-07 10:03:28.919 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.102 сек., синхр.=0.005 сек., всего=0.116 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.004 сек., средняя=0.003 сек.; расстояние=4 kB, ожидалось=272 kB
2023-07-07 10:35:27.836 +05 [11656] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 10:35:27.836 +05 [11656] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "umpna" ORDER BY id
2023-07-07 10:35:34.674 +05 [11656] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "tag" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 12)
2023-07-07 10:35:34.674 +05 [11656] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "zd" ORDER BY id
2023-07-07 10:36:55.244 +05 [11656] РћРЁРР‘РљРђ:  РїСѓСЃС‚РѕР№ РёРґРµРЅС‚РёС„РёРєР°С‚РѕСЂ РІ РєР°РІС‹С‡РєР°С… (РїСЂРёРјРµСЂРЅРѕРµ РїРѕР»РѕР¶РµРЅРёРµ: """") (СЃРёРјРІРѕР» 27)
2023-07-07 10:36:55.244 +05 [11656] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "" ORDER BY id
2023-07-07 10:38:28.974 +05 [7844] СООБЩЕНИЕ:  начата контрольная точка: time
2023-07-07 10:38:29.105 +05 [7844] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.116 сек., синхр.=0.004 сек., всего=0.131 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.004 сек., средняя=0.004 сек.; расстояние=8 kB, ожидалось=246 kB
2023-07-07 10:40:14.463 +05 [11656] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-07-07 10:40:26.555 +05 [9456] РћРЁРР‘РљРђ:  РїСѓСЃС‚РѕР№ РёРґРµРЅС‚РёС„РёРєР°С‚РѕСЂ РІ РєР°РІС‹С‡РєР°С… (РїСЂРёРјРµСЂРЅРѕРµ РїРѕР»РѕР¶РµРЅРёРµ: """") (СЃРёРјРІРѕР» 27)
2023-07-07 10:40:26.555 +05 [9456] РћРџР•Р РђРўРћР :  SELECT id, tag, name FROM "" ORDER BY id
