2023-08-08 11:25:45.265 +05 [19956] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 11:25:45.265 +05 [19044] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 11:29:35.245 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:29:36.667 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.405 сек., синхр.=0.008 сек., всего=1.423 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=67 kB, ожидалось=2253 kB
2023-08-08 11:34:35.674 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 11:34:37.228 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 15 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.535 сек., синхр.=0.009 сек., всего=1.554 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=62 kB, ожидалось=2034 kB
2023-08-08 12:47:19.502 +05 [18816] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 12:55:48.282 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 12:55:53.547 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 49 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.235 сек., синхр.=0.024 сек., всего=5.266 сек.; синхронизировано_файлов=33, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=229 kB, ожидалось=1854 kB
2023-08-08 13:00:48.558 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 13:00:55.982 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 69 (0.4%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=7.387 сек., синхр.=0.030 сек., всего=7.425 сек.; синхронизировано_файлов=35, самая_долгая_синхр.=0.004 сек., средняя=0.001 сек.; расстояние=377 kB, ожидалось=1706 kB
2023-08-08 13:15:49.000 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 13:15:49.441 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.430 сек., синхр.=0.004 сек., всего=0.442 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=20 kB, ожидалось=1537 kB
2023-08-08 13:16:07.650 +05 [13424] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:22:45.626 +05 [7020] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:23:06.601 +05 [16948] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:23:24.026 +05 [16724] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
